Geographic code;Geographic name;Geographic Type;Geographic Name, province or territory;Geographic Code, province or territory;Geographic code, census division;Geographic code, census metropolitan area or census agglomeration;Global non-response rate;Data quality flag;Age;Sex;Total population;Period of immigration - Non-immigrants (2016 counts);Period of immigration - Immigrants (2016 counts);Period of immigration - Before 2001 (2016 counts);Period of immigration - 2001 to 2005 (2016 counts);Period of immigration - 2006 to 2010 (2016 counts);Period of immigration - 2011 to 2016 (2016 counts);Period of immigration - Non-permanent residents (2016 counts);Total population (% distribution 2016);Period of immigration - Non-immigrants (% distribution 2016);Period of immigration - Immigrants (% distribution 2016);Period of immigration - Before 2001 (% distribution 2016);Period of immigration - 2001 to 2005 (% distribution 2016);Period of immigration - 2006 to 2010 (% distribution 2016);Period of immigration - 2011 to 2016 (% distribution 2016);Period of immigration - Non-permanent residents (% distribution 2016)
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;0 to 14;Male;535;540;0;0;0;0;0;0;100;100;0;0;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;0 to 14;Female;540;530;0;0;0;0;10;0;100;98.1;0;0;0;0;1.9;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;15 to 24;Male;290;280;0;0;0;0;0;10;100;96.6;0;0;0;0;0;3.4
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;65 to 74;Male;295;300;0;0;0;0;0;0;100;100;0;0;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;55 to 64;Male;400;390;15;10;0;0;0;0;100;97.5;3.8;2.5;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;25 to 34;Male;185;175;0;0;0;0;0;0;100;94.6;0;0;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;35 to 44;Male;445;440;10;0;10;0;0;0;100;98.9;2.2;0;2.2;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;45 to 54;Male;455;450;0;0;0;0;0;10;100;98.9;0;0;0;0;0;2.2
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;25 to 34;Female;275;280;0;0;0;0;0;0;100;100;0;0;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;15 to 24;Female;335;330;10;10;0;0;0;0;100;98.5;3;3;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;65 to 74;Female;425;410;10;15;0;0;0;0;100;96.5;2.4;3.5;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;55 to 64;Female;425;425;10;10;0;0;0;0;100;100;2.4;2.4;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;45 to 54;Female;455;455;0;0;0;0;0;0;100;100;0;0;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;35 to 44;Female;480;475;10;0;0;0;0;0;100;99;2.1;0;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;75 years and over;Male;200;195;10;10;0;0;0;0;100;97.5;5;5;0;0;0;0
1001409;Bay Roberts;Town;Newfoundland and Labrador;10;1;5;7.6;0;75 years and over;Female;210;205;0;10;0;0;0;0;100;97.6;0;4.8;0;0;0;0
1001485;Conception Bay South;Town;Newfoundland and Labrador;10;1;1;3.9;0;0 to 14;Male;2305;2295;10;0;0;0;0;0;100;99.6;0.4;0;0;0;0;0
1001485;Conception Bay South;Town;Newfoundland and Labrador;10;1;1;3.9;0;0 to 14;Female;2305;2270;30;0;10;10;20;0;100;98.5;1.3;0;0.4;0.4;0.9;0
1001485;Conception Bay South;Town;Newfoundland and Labrador;10;1;1;3.9;0;25 to 34;Male;1565;1550;0;0;0;0;0;10;100;99;0;0;0;0;0;0.6
